id_localidad,nombre,id_departamento
589,PASO FLORES,62070
590,EL SOMBRERO,18042
591,LA MARTA,18070
592,SAN GREGORIO,18070
593,SAN ISIDRO,18070
594,PASO SAN JUAN,18070
595,PASO LOS ANGELES,18070
596,ISLA TALAR,18070
597,LA CUCUCHA,18070
598,BUENA ESPERANZA,18070
599,STELLA MARIS,18070
600,SAN MARTIN,18070
601,EL QUEBRACHO,18070
602,ESTANCIA SANTA RITA,18070
603,CAMPO MORATO,18070
604,SAN ANTONIO,18070
605,RINCON DEL PAGO,18070
606,INVERNADA,18070
607,PAGO DE LOS DESEOS,18126
608,COLONIA 3 DE ABRIL,18007
609,EL ESPINILLO,22063
610,AGUAS BLANCAS,66126
611,COLONIA TERESA,82098
612,CUBANEA,62007
613,CHIPAUQUIL,62084
614,PILO LIL,58021
615,GUAÑACOS,58077
616,LOS CHAÑARITOS,14119
617,DOÑA LUISA,86084
618,SABAGASTA,86168
619,NUEVA POMPEYA,22063
620,ALDEA APELEG,26084
621,CAMPO PIAGGIO,82105
622,LAPACHITO,22056
623,COLONIAS UNIDAS,22154
624,LOS TALARES,14077
625,LA RANCHERITA,14147
626,COLONIA CAROLINA,18070
627,COLONIA ISABEL VICTORIA,18070
628,VILLA OLIVARI,18084
629,COLONIA PANDO,18161
630,COLONIA PEREIRA,30008
631,COLONIA SAN ANSELMO,30008
632,MOLINO DOLL,30021
633,COLONIA OFICIAL 16,30028
634,COLONIA AYMAN,30028
635,BANDERITAS,30035
636,COLONIA LA BERTA,30035
637,COLONIA SAN LORENZO,30035
638,COLONIA LA MARTA,30035
639,DIEGO LOPEZ,30035
640,COLONIA LA LATA,30035
641,COLONIA SANTA LUCIA,30035
642,COLONIA OFICIAL 18,30042
643,LAS MULITAS,30042
644,ARROYO SEPULTURA,30049
645,ARROYO LAS LECHIGUANAS,30049
646,PASTOR BRITOS,30056
647,RINCON DEL GATO,30056
648,PERDICES,30056
649,DISTRITO PERDICES,30056
650,ÑANCAY,30063
651,LA PROVIDENCIA,30070
652,COLONIA EL SAUCESITO,30070
653,CRUCESITAS,30077
654,ORO VERDE,30084
655,ARROYO CORRALITO,30084
656,ALDEA SANTA ROSA,30084
657,ARROYO GRANDE,30088
658,COLONIA OFICIAL N° 5,30088
659,COLONIA SAN MARTIN,30098
660,ESTANCIA LA SILVIA,30098
661,COLONIA SAGASTUME,30098
662,COLONIA SAN RAMON,30098
663,SAN CIPRIANO,30098
664,LAS ACHIRAS,30098
665,LOS CEIBOS,30098
666,DISTRITO CHILCAS,30105
667,DISTRITO HINOJAL,30105
668,RINCON DEL DOLL,30105
669,MONTOYA,30105
670,COLONIA ADIVINOS,30113
671,EL CHAJARI,30113
672,PICHI MAHUIDA,62063
673,MINA 3,78021
674,MAUA,82021
675,LA POTASA,82049
676,DOS ROSAS Y LA LEGUA,82091
677,LA DARSENA,86035
678,SAN RAMON,86035
679,EL ZANJON,86049
680,VILLA MATOQUE,86056
681,GUAMPACHA,86084
682,VILLA GUASAYAN,86084
683,POZO DEL TOBA,86098
684,QUEBRACHO COTO,86133
685,VILLA ROBLES,86161
686,SIMOCA,90091
687,SOLDADO MALDONADO,90070
688,LOS PEREYRA NORTE,90014
689,SOL DE MAYO,86049
690,JUANILLO,86021
691,PUNTA POZO,86028
692,EL AIBE,86035
693,ABRA GRANDE,86035
694,REMES,86049
695,SAN BENITO,86049
696,EL DEAN,86049
697,SAN VICENTE,86105
698,SANTA CATALINA,86084
699,SANTA MARIA,86049
700,CASPI CORRAL,86070
701,VACA HUAÑUNA,86070
702,CANAL MELERO,86098
703,LA SIMONA,86077
704,LA NENA,86077
705,TRES CRUCES,86091
706,YUCHAN,86098
707,LA NORIA,86105
708,SAUCE SOLO,86105
709,AMAMA,86119
710,VILLA BRANA,86119
711,LIBERTAD,86119
712,NEGRA MUERTA,86035
713,KM 49,86126
714,CAMPO GRANDE,86133
715,VILLA MERCEDES,86133
716,SANTO DOMINGO,86133
717,AMICHA,86147
718,LEZCANOS,86147
719,LOS OVEJEROS,86147
720,SOTELOS,86147
721,LOS ROMANOS,86161
722,VILLA HIPOLITA,86161
723,VACA HUMAN,86168
724,TIO POZO,86105
725,VILLA NUEVA,86175
726,HUACHANA,86014
727,SUMAMAO,86189
728,AHI VEREMOS,86056
729,POZO DEL ARBOLITO,86147
730,COLONIA PUENTE DEL GUALEG,30008
731,COLONIA LAS PEPAS,30008
732,COLONIA SANTA ROSA,30008
733,SAN MIGUEL,30008
734,COLONIA NUEVA SAN MIGUEL,30008
735,ROLDAN,86098
736,SAN ANTONIO,86098
737,PUNTA DEL MONTE,30049
738,EL HOYON,86021
739,POZO AZUL,54112
740,NUESTRA SEÑORA DE ITATI,54112
741,DURAN,54112
742,TRES VECINOS,54112
743,FORESTAL (SAN ANTONIO),54112
744,DISTRITO TALA,30084
745,LAGO MELIQUINA,58056
746,AHI VEREMOS,86133
747,EL SAUZAL,86147
748,COLONIA ABORIGEN CHACO,22133
749,COLONIA ABORIGEN,22168
750,ATOJ POZO,86175
751,VUELTA DE LA BARRANCA,86049
752,COLONIA REFFINO,30084
753,ESTACION YUQUERI,30015
754,LOMA LIMPIA,30035
755,EL GATO,30035
756,COLONIA OFICIAL Nº 13,30070
757,GONZALEZ CALDERON,30049
758,LAS TOSCAS,30070
759,CRUCESITAS TERCERA,30077
760,DISTRITO COSTA URUGUAY SUR,30056
761,MONTE REDONDO,30049
762,LAS TUNAS,30028
763,SAUCE SUD,30091
764,LOS CAJONES,74049
765,LAS BARRANCAS,74049
766,LAS ISLITAS,74049
767,SANTA ANA,74049
768,BALDE DE ESCUDERO,74049
769,LAS PALOMAS,74049
770,COLONIA CECILIO ECHEVERRIA,18091
771,CAZADORES CORRENTINOS,18035
772,LAS GRUTAS,62077
773,CAMPO HARDY,82049
774,LOS TABANOS,82133
775,EL CRUCERO,86070
776,SALTO ENCANTADO,54014
777,ALGARROBAL,18161
778,CERNA,18161
779,COSTA SANTA LUCIA,18161
780,9 DE JULIO,18161
781,COLONIA JUAN RAMON VIDAL,18161
782,ARROYO VENTANA,62084
783,CAÑADA SECA,6392
784,SAN GENARO,6392
785,LOS LAURELES,6392
786,MASSEY,6392
787,ESTANCIA EL MERIDIANO,6392
788,GENERAL VILLEGAS,6392
789,COLONIA LA BELITA,6392
790,LA JOSEFA,6392
791,GONDRA,6392
792,VILLA CICLON,6392
793,MOORES,6392
794,CAMPOS FRIA,6392
795,PICHINCHA,6392
796,DRABBLE,6392
797,EL RECAO,6392
798,SAN JOSE,6392
799,ESCUELA AGRARIA,6392
800,FORTIN REPUBLICA,6392
801,LA MARGARITA,6392
802,ESTACION MILLACO,6392
803,VILLA SABOYA,6392
804,EL DIA,6392
805,CUARTEL II,6392
806,CORONEL CHARLONE,6392
807,PIEDRITAS,6392
808,VILLA SAUZE,6392
809,LA CATALINA,6392
810,SANTA ELEODORA,6392
811,TAMBEROS UNIDOS,6392
812,LOS ANGELES,6392
813,EMILIO V. BUNGE,6392
814,BANDERALO,6392
815,VOLTA,6392
816,CAMPESINOS UNIDOS,6392
817,SANTA REGINA,6392
818,LA TRADICION,6392
819,CANNING,6260
820,LUIS GUILLON,6260
821,9 DE ABRIL,6260
822,MONTE GRANDE,6260
823,EL JAGUEL,6260
824,VILLA HUIDOBRO,14035
825,LA JUANITA,30021
826,LA JAULA,30021
827,COLONIA ENSAYO,30021
828,LOS CERRILLOS,6547
829,FUNKE,6547
830,SAN MIGUEL DEL MONTE,6547
831,LA ELINA,6547
832,SAN GENARO,6547
833,ABBOTT,6547
834,SANTA MARIA,6547
835,EL ROSARIO,6547
836,EL SIASGO,6547
837,ZENON VIDELA DORNA,6547
838,GOYENECHE,6547
839,SAN MARCELO,6547
840,EL DORADO,6547
841,LA COSTA,6547
842,MAHON,6547
843,SANTO DOMINGO,82070
844,TRES CAPONES,54007
845,LAS TUNAS,54007
846,COLONIA SANTA ELOISA,30028
847,VILLA DEL ROSARIO,30028
848,MANFREDI,14119
849,LAS TINAJAS,86119
850,ARAUCO,46007
851,AIMOGASTA,46007
852,UDPINANGO,46007
853,LA CAUCHITA,46007
854,TINOCAN,46007
855,LA CIMBRITA,46007
856,TERMAS DE SANTA TERESITA,46007
857,SAN ANTONIO,46007
858,ESTACION MAZAN,46007
859,VILLA MAZAN,46007
860,BAÑADO DE LOS PANTANOS,46007
861,MACHIGASTA,46007
862,LA CANCHITA,46007
863,CUESTA BLANCA,14091
864,TRES LOMAS,6063
865,EL PANTANOSO,6063
866,SAN SILVERIO,6063
867,LOS CARDOS,6063
868,BALCARCE,6063
869,LA SARA,6063
870,EL GLIPTODONTE,6063
871,TRES ESQUINAS,6063
872,ALELUYA,6063
873,BOSCH,6063
874,COLONIA BALCARCE,6063
875,SAN SIMON,6063
876,BELLA VISTA,6063
877,EL CAPRICHO,6063
878,JUAN VICENTY,6063
879,EL VOLCAN,6063
880,ESQ DE LAHITTE,6063
881,CUARTEL III,6063
882,LOS PINOS,6063
883,RAMOS OTERO,6063
884,LA ESPERANZA,6063
885,CINCO CERROS,6063
886,EL PARQUE,6063
887,LA PALOMA,6063
888,ESTACION LA ALBORADA,6063
889,LLANOS,6063
890,SAN AGUSTIN,6063
891,CABAÑA SAN JUAN,6063
